college_name,college_type,financial_aid,major,roi,total_cost
Berklee College of Music(Private),private,,art,75700,241000
Grand View University(Private),private,,art,74700,142000
Fort Hays State University(In-State),instate,,art,74600,67700
Central Michigan University(Out-of-State),outofstate,,art,74300,139000
Stephen F Austin State University(Out-of-State),outofstate,,art,74200,130000
The University of the Arts(Private),private,,art,73900,237000
Oakland University(In-State),instate,,art,73700,91700
Eastern Michigan University(In-State),instate,,art,73600,88400
Southeastern Louisiana University(In-State),instate,,art,72200,76000
California State University-Fresno(Out-of-State),outofstate,,art,71800,125000
Kansas City Art Institute(Private),private,,art,71700,207000
Millersville University of Pennsylvania(Out-of-State),outofstate,,art,71500,144000
Truman State University(In-State),instate,,art,71500,81500
Louisiana Tech University(Out-of-State),outofstate,,art,71400,136000
The University of Alabama(Out-of-State),outofstate,,art,70900,173000
The University of Texas at Arlington(Out-of-State),outofstate,,art,70800,133000
Salem State University(In-State),instate,,art,70600,95000
Ball State University(In-State),instate,,art,70400,92600
Illinois State University(Out-of-State),outofstate,,art,70300,143000
Kent State University at Kent(Out-of-State),outofstate,,art,69400,134000
University of Kentucky(In-State),instate,,art,69100,104000
University of California-Riverside(Out-of-State),outofstate,,art,68900,230000
University of North Carolina at Greensboro(Out-of-State),outofstate,,art,68200,136000
Washington State University(Out-of-State),outofstate,,art,68100,165000
Bridgewater State University(Out-of-State),outofstate,,art,67000,120000
University of Wyoming(Out-of-State),outofstate,,art,66400,117000
Butler University(Private),private,,art,65500,208000
Jacksonville State University(In-State),instate,,art,65500,83700
Missouri State University-Springfield(In-State),instate,,art,65300,79900
University of North Carolina at Charlotte(Out-of-State),outofstate,,art,65000,134000
Boise State University(Out-of-State),outofstate,,art,64800,134000
Middle Tennessee State University(Out-of-State),outofstate,,art,64800,152000
Louisiana State University and Agricultural & Mechanical College(Out-of-State),outofstate,,art,64300,172000
Southern Connecticut State University(In-State),instate,,art,64100,95600
Minnesota State University Moorhead(In-State),instate,,art,63900,78900
University of Southern Mississippi(In-State),instate,,art,63100,82900
Indiana State University(In-State),instate,,art,62500,84500
Concordia College at Moorhead(Private),private,,art,62300,181000
Eastern Kentucky University(Out-of-State),outofstate,,art,61300,118000
University of Minnesota-Duluth(In-State),instate,,art,60200,94700
University of New Orleans(Out-of-State),outofstate,,art,60200,139000
Northern Kentucky University(Out-of-State),outofstate,,art,60100,117000
University of Wisconsin-Stevens Point(In-State),instate,,art,59800,69600
Youngstown State University(In-State),instate,,art,59500,86300
Minnesota State University-Mankato(In-State),instate,,art,59300,74900
Seattle Pacific University(Private),private,,art,59100,204000
University of Wisconsin-Green Bay(Out-of-State),outofstate,,art,59000,105000
University of Hawaii at Manoa(Out-of-State),outofstate,,art,58800,186000
Indiana University-Purdue University-Indianapolis(Out-of-State),outofstate,,art,58700,172000
Youngstown State University(Out-of-State),outofstate,,art,58500,87300
Illinois Wesleyan University(Private),private,,art,58100,214000
SUNY College at Oswego(Out-of-State),outofstate,,art,57400,130000
East Carolina University(In-State),instate,,art,57200,83700
University of New Haven(Private),private,,art,57200,210000
SUNY at Fredonia(In-State),instate,,art,56600,91000
Samford University(Private),private,,art,56600,172000
Western Kentucky University(In-State),instate,,art,56600,78200
The University of Tampa(Private),private,,art,56300,164000
Stony Brook University(Out-of-State),outofstate,,art,56200,151000
Lawrence University(Private),private,,art,55100,218000
Radford University(Out-of-State),outofstate,,art,55100,136000
Wright State University-Main Campus(In-State),instate,,art,55000,92000
Florida Atlantic University(Out-of-State),outofstate,,art,54900,138000
Pennsylvania College of Technology(In-State),instate,,art,53900,124000
Franklin Pierce University(Private),private,,art,53700,192000
Southern Illinois University-Carbondale(Out-of-State),outofstate,,art,53700,158000
University of Central Florida(Out-of-State),outofstate,,art,52900,151000
La Roche College(Private),private,,art,52200,160000
Bowling Green State University-Main Campus(Out-of-State),outofstate,,art,51200,126000
Indiana University-Purdue University-Fort Wayne(In-State),instate,,art,50700,88500
SUNY College at Plattsburgh(In-State),instate,,art,50400,90500
The University of Tennessee-Knoxville(Out-of-State),outofstate,,art,50100,191000
University of New Hampshire-Main Campus(Out-of-State),outofstate,,art,49800,178000
University of North Carolina Wilmington(In-State),instate,,art,49300,87300
Kutztown University of Pennsylvania(Out-of-State),outofstate,,art,49000,138000
University of Nebraska-Lincoln(Out-of-State),outofstate,,art,48800,149000
University of Central Oklahoma(In-State),instate,,art,48700,76600
Sam Houston State University(Out-of-State),outofstate,,art,48500,119000
University of Wisconsin-Milwaukee(In-State),instate,,art,48000,91600
Montana State University(In-State),instate,,art,47900,79800
University of Central Missouri(In-State),instate,,art,47900,75300
Grand Valley State University(In-State),instate,,art,47600,89300
Morehead State University(In-State),instate,,art,47500,79800
Winthrop University(Out-of-State),outofstate,,art,47500,159000
University of Louisville(In-State),instate,,art,46900,98400
The University of West Florida(In-State),instate,,art,46800,78600
