major,college_name,college_type,financial_aid,roi,total_cost
art,University of Northern Colorado(In-State),instate,1.0,133000,88400
art,University of Oklahoma-Norman Campus(Out-of-State),outofstate,1.0,133000,153000
art,Louisiana Tech University(In-State),instate,1.0,131000,76400
art,Miami University-Oxford(Out-of-State),outofstate,1.0,131000,185000
art,Middle Tennessee State University(In-State),instate,1.0,130000,86300
art,University of Mississippi(In-State),instate,1.0,130000,92100
art,Oklahoma State University-Main Campus(In-State),instate,1.0,129000,89000
art,University of Massachusetts-Amherst(Out-of-State),outofstate,1.0,129000,174000
art,LIU Post(Private),private,1.0,128000,210000
art,University of North Carolina at Greensboro(In-State),instate,1.0,127000,77600
art,Texas Tech University(Out-of-State),outofstate,1.0,126000,126000
art,Columbia College-Chicago(Private),private,1.0,125000,167000
art,University of Alabama at Birmingham(In-State),instate,1.0,125000,97400
art,SUNY College at Potsdam(In-State),instate,1.0,124000,89400
art,The University of Tennessee-Knoxville(In-State),instate,1.0,124000,117000
art,Keene State College(Out-of-State),outofstate,1.0,123000,134000
art,Bemidji State University(In-State),instate,1.0,122000,78300
art,Bemidji State University(Out-of-State),outofstate,1.0,122000,78300
art,Central Michigan University(In-State),instate,1.0,122000,90900
art,Florida Agricultural and Mechanical University(Out-of-State),outofstate,1.0,122000,130000
art,Tulane University of Louisiana(Private),private,1.0,122000,256000
art,University of Missouri-Columbia(Out-of-State),outofstate,1.0,122000,158000
art,Washington State University(In-State),instate,1.0,122000,111000
art,North Dakota State University-Main Campus(Out-of-State),outofstate,1.0,121000,125000
art,Purdue University-Main Campus(Out-of-State),outofstate,1.0,121000,168000
art,Northern Michigan University(Out-of-State),outofstate,1.0,120000,106000
art,Shepherd University(In-State),instate,1.0,120000,80200
art,Smith College(Private),private,1.0,120000,254000
art,Texas A & M University-Commerce(In-State),instate,1.0,120000,72800
art,University of Vermont(Out-of-State),outofstate,1.0,120000,210000
art,Augsburg College(Private),private,1.0,119000,191000
art,Azusa Pacific University(Private),private,1.0,119000,192000
art,Boise State University(In-State),instate,1.0,119000,80500
art,University of California-Irvine(Out-of-State),outofstate,1.0,119000,224000
art,Pepperdine University(Private),private,1.0,118000,259000
art,Texas State University(In-State),instate,1.0,118000,83300
art,University of Arizona(In-State),instate,1.0,118000,103000
art,University of Massachusetts-Dartmouth(Out-of-State),outofstate,1.0,118000,160000
art,Woodbury University(Private),private,1.0,118000,205000
art,Calvin College(Private),private,1.0,117000,173000
art,University of Central Florida(In-State),instate,1.0,117000,86200
art,University of Idaho(Out-of-State),outofstate,1.0,117000,136000
art,University of North Carolina at Charlotte(In-State),instate,1.0,117000,82300
art,California State University-Fresno(In-State),instate,1.0,116000,80800
art,SUNY Oneonta(Out-of-State),outofstate,1.0,116000,129000
art,New Jersey City University(Out-of-State),outofstate,1.0,115000,145000
art,Stephen F Austin State University(In-State),instate,1.0,115000,89100
art,University of Wisconsin-Madison(Out-of-State),outofstate,1.0,115000,172000
art,Millersville University of Pennsylvania(In-State),instate,1.0,114000,101000
art,Stony Brook University(In-State),instate,1.0,114000,93300
art,University of New Orleans(In-State),instate,1.0,114000,85700
art,Wayne State University(Out-of-State),outofstate,1.0,114000,151000
art,Ohio University-Main Campus(Out-of-State),outofstate,1.0,113000,139000
art,University of Houston(Out-of-State),outofstate,1.0,113000,137000
art,The University of Texas at Arlington(In-State),instate,1.0,112000,91900
art,West Chester University of Pennsylvania(Out-of-State),outofstate,1.0,112000,146000
art,Kenyon College(Private),private,1.0,110000,253000
art,West Virginia University(Out-of-State),outofstate,1.0,110000,135000
art,Georgia State University(Out-of-State),outofstate,1.0,108000,162000
art,Savannah College of Art and Design(Private),private,1.0,108000,212000
art,University of Wyoming(In-State),instate,1.0,108000,75600
art,Virginia Commonwealth University(In-State),instate,1.0,108000,118000
art,School of the Art Institute of Chicago(Private),private,1.0,107000,241000
art,Central Washington University(Out-of-State),outofstate,1.0,106000,141000
art,Southern Illinois University-Carbondale(In-State),instate,1.0,106000,106000
art,Florida Atlantic University(In-State),instate,1.0,105000,88400
art,University of Nebraska-Lincoln(In-State),instate,1.0,105000,92700
art,Illinois State University(In-State),instate,1.0,104000,109000
art,Radford University(In-State),instate,1.0,104000,86600
art,University of Missouri-Kansas City(Out-of-State),outofstate,1.0,103000,143000
art,University of New Hampshire-Main Campus(In-State),instate,1.0,103000,125000
art,Bradley University(Private),private,1.0,102000,176000
art,East Tennessee State University(In-State),instate,1.0,102000,93500
art,Kent State University at Kent(In-State),instate,1.0,102000,101000
art,Mount Ida College(Private),private,1.0,102000,189000
art,University of Colorado Boulder(Out-of-State),outofstate,1.0,102000,210000
art,University of Maine(Out-of-State),outofstate,1.0,101000,167000
art,Michigan State University(Out-of-State),outofstate,1.0,99900,193000
art,Winthrop University(In-State),instate,1.0,99800,106000
art,Harding University(Private),private,1.0,99500,112000
art,University at Buffalo(Out-of-State),outofstate,1.0,99000,157000
art,Western Michigan University(Out-of-State),outofstate,1.0,99000,151000
art,Eastern Kentucky University(In-State),instate,1.0,98700,80200
art,Southeast Missouri State University(In-State),instate,1.0,97700,79700
art,Northern Arizona University(In-State),instate,1.0,97000,99400
art,Roger Williams University(Private),private,1.0,96200,201000
art,SUNY College at Oswego(In-State),instate,1.0,96200,91100
art,University of Oregon(Out-of-State),outofstate,1.0,94700,185000
art,Northern Kentucky University(In-State),instate,1.0,94400,82900
art,Appalachian State University(In-State),instate,1.0,92900,75800
art,University of Iowa(Out-of-State),outofstate,1.0,92500,163000
art,Indiana University-Bloomington(Out-of-State),outofstate,1.0,92300,190000
art,Drake University(Private),private,1.0,92200,189000
art,Fordham University(Private),private,1.0,92100,266000
art,California State University-Los Angeles(Out-of-State),outofstate,1.0,91700,138000
art,Florida International University(In-State),instate,1.0,91700,92800
art,Bridgewater State University(In-State),instate,1.0,91500,95700
art,Kutztown University of Pennsylvania(In-State),instate,1.0,91500,95100
art,University of New Mexico-Main Campus(In-State),instate,1.0,91500,82800
art,Oregon State University(Out-of-State),outofstate,1.0,90700,170000
art,University of Arkansas(In-State),instate,1.0,90600,93100
art,Oberlin College(Private),private,1.0,90300,262000
art,Pacific Lutheran University(Private),private,1.0,90100,204000
art,University of Wisconsin-Green Bay(In-State),instate,1.0,89300,74200
art,The Evergreen State College(In-State),instate,1.0,88800,88600
art,Auburn University(Out-of-State),outofstate,1.0,88200,184000
art,Southern Methodist University(Private),private,1.0,87600,262000
art,Ringling College of Art and Design(Private),private,1.0,87400,240000
art,The University of Montana(In-State),instate,1.0,87200,75700
art,University of Northern Colorado(Out-of-State),outofstate,1.0,87100,135000
art,St Olaf College(Private),private,1.0,86400,216000
art,University of Alabama at Birmingham(Out-of-State),outofstate,1.0,86300,136000
art,Luther College(Private),private,1.0,86200,202000
art,University of Rhode Island(Out-of-State),outofstate,1.0,86100,174000
art,Otterbein University(Private),private,1.0,85800,180000
art,SUNY College at Potsdam(Out-of-State),outofstate,1.0,85700,128000
art,Southern Illinois University-Edwardsville(In-State),instate,1.0,85700,93500
art,University of North Florida(In-State),instate,1.0,85500,84000
art,Sam Houston State University(In-State),instate,1.0,84900,82500
art,Mississippi State University(In-State),instate,1.0,84500,90800
art,John Brown University(Private),private,1.0,84300,145000
art,Humboldt State University(In-State),instate,1.0,84000,92700
art,University of South Florida-Main Campus(In-State),instate,1.0,83200,84200
art,University of Nevada-Las Vegas(Out-of-State),outofstate,1.0,83100,145000
art,Old Dominion University(In-State),instate,1.0,81800,94000
art,The University of Texas at San Antonio(In-State),instate,1.0,81500,85500
art,Bowling Green State University-Main Campus(In-State),instate,1.0,80900,96200
art,Florida State University(In-State),instate,1.0,80800,87800
art,University of Pittsburgh-Pittsburgh Campus(In-State),instate,1.0,80700,130000
art,Shepherd University(Out-of-State),outofstate,1.0,80000,120000
art,University of Mississippi(Out-of-State),outofstate,1.0,79900,143000
art,New Mexico State University-Main Campus(Out-of-State),outofstate,1.0,79200,129000
art,Kansas State University(In-State),instate,1.0,79000,89900
art,Texas A & M University-Commerce(Out-of-State),outofstate,1.0,79000,114000
art,Flagler College-St Augustine(Private),private,1.0,78400,123000
art,Portland State University(Out-of-State),outofstate,1.0,77500,158000
art,Loyola University New Orleans(Private),private,1.0,77400,212000
art,Oklahoma State University-Main Campus(Out-of-State),outofstate,1.0,76400,141000
art,Southeast Missouri State University(Out-of-State),outofstate,1.0,76200,101000
art,Texas State University(Out-of-State),outofstate,1.0,76100,125000
art,Berklee College of Music(Private),private,1.0,75700,241000
art,Grand View University(Private),private,1.0,74700,142000
art,Fort Hays State University(In-State),instate,1.0,74600,67700
art,Central Michigan University(Out-of-State),outofstate,1.0,74300,139000
art,Stephen F Austin State University(Out-of-State),outofstate,1.0,74200,130000
art,The University of the Arts(Private),private,1.0,73900,237000
art,Oakland University(In-State),instate,1.0,73700,91700
art,Eastern Michigan University(In-State),instate,1.0,73600,88400
art,Southeastern Louisiana University(In-State),instate,1.0,72200,76000
art,California State University-Fresno(Out-of-State),outofstate,1.0,71800,125000
art,Kansas City Art Institute(Private),private,1.0,71700,207000
art,Millersville University of Pennsylvania(Out-of-State),outofstate,1.0,71500,144000
art,Truman State University(In-State),instate,1.0,71500,81500
art,Louisiana Tech University(Out-of-State),outofstate,1.0,71400,136000
art,The University of Alabama(Out-of-State),outofstate,1.0,70900,173000
art,The University of Texas at Arlington(Out-of-State),outofstate,1.0,70800,133000
art,Salem State University(In-State),instate,1.0,70600,95000
art,Ball State University(In-State),instate,1.0,70400,92600
art,Illinois State University(Out-of-State),outofstate,1.0,70300,143000
art,Kent State University at Kent(Out-of-State),outofstate,1.0,69400,134000
art,University of Kentucky(In-State),instate,1.0,69100,104000
art,University of California-Riverside(Out-of-State),outofstate,1.0,68900,230000
art,University of North Carolina at Greensboro(Out-of-State),outofstate,1.0,68200,136000
art,Washington State University(Out-of-State),outofstate,1.0,68100,165000
art,Bridgewater State University(Out-of-State),outofstate,1.0,67000,120000
art,University of Wyoming(Out-of-State),outofstate,1.0,66400,117000
art,Butler University(Private),private,1.0,65500,208000
art,Jacksonville State University(In-State),instate,1.0,65500,83700
art,Missouri State University-Springfield(In-State),instate,1.0,65300,79900
art,University of North Carolina at Charlotte(Out-of-State),outofstate,1.0,65000,134000
art,Boise State University(Out-of-State),outofstate,1.0,64800,134000
art,Middle Tennessee State University(Out-of-State),outofstate,1.0,64800,152000
art,Louisiana State University and Agricultural & Mechanical College(Out-of-State),outofstate,1.0,64300,172000
art,Southern Connecticut State University(In-State),instate,1.0,64100,95600
art,Minnesota State University Moorhead(In-State),instate,1.0,63900,78900
art,University of Southern Mississippi(In-State),instate,1.0,63100,82900
art,Indiana State University(In-State),instate,1.0,62500,84500
