state_name,college_name,college_type,roi,total_cost,grad_rate,yrs2grad,financial_aid,loan_amt,perc_grant
CALIFORNIA,Notre Dame de Namur University(Private),private,419000,204000,50,4,1.0,26600,47
CALIFORNIA,San Francisco State University(Out-of-State),outofstate,414000,143000,53,5,1.0,21800,48
CALIFORNIA,California State University-Sacramento(Out-of-State),outofstate,401000,140000,49,5,1.0,20500,54
CALIFORNIA,California Lutheran University(Private),private,398000,221000,73,4,1.0,32300,27
CALIFORNIA,California State University-Fresno(Out-of-State),outofstate,397000,125000,57,5,1.0,19000,64
CALIFORNIA,San Diego State University(Out-of-State),outofstate,397000,150000,73,5,1.0,26000,28
CALIFORNIA,California State University-Long Beach(Out-of-State),outofstate,389000,136000,69,5,1.0,21600,48
CALIFORNIA,California State University-Stanislaus(In-State),instate,387000,82600,57,5,1.0,19100,61
CALIFORNIA,Dominican University of California(Private),private,387000,242000,72,4,1.0,30400,27
CALIFORNIA,Sonoma State University(In-State),instate,387000,96800,61,5,1.0,22900,35
CALIFORNIA,California State University-Northridge(Out-of-State),outofstate,386000,130000,50,5,1.0,18800,63
CALIFORNIA,Occidental College(Private),private,379000,265000,81,4,1.0,29000,21
CALIFORNIA,California State University-Fullerton(Out-of-State),outofstate,374000,145000,62,5,1.0,22400,46
CALIFORNIA,University of La Verne(Private),private,372000,220000,66,4,1.0,27200,51
CALIFORNIA,California State University-San Marcos(In-State),instate,370000,96300,52,5,1.0,22000,48
CALIFORNIA,Laguna College of Art and Design(Private),private,367000,181000,46,5,1.0,28800,28
CALIFORNIA,California State University-Los Angeles(In-State),instate,365000,93100,46,6,1.0,15200,71
CALIFORNIA,Mount Saint Mary's University(Private),private,364000,214000,59,4,1.0,16200,67
CALIFORNIA,Westmont College(Private),private,362000,226000,77,4,1.0,31000,18
CALIFORNIA,Pacific Union College(Private),private,361000,164000,50,5,1.0,35500,44
CALIFORNIA,California State University-Dominguez Hills(In-State),instate,360000,90000,42,6,1.0,17100,72
CALIFORNIA,University of California-Riverside(Out-of-State),outofstate,355000,230000,73,5,1.0,22600,53
CALIFORNIA,La Sierra University(Private),private,352000,172000,52,5,1.0,22200,55
CALIFORNIA,Chapman University(Private),private,351000,253000,79,4,1.0,23000,15
CALIFORNIA,Holy Names University(Private),private,348000,208000,45,4,1.0,23800,55
CALIFORNIA,California State University-Bakersfield(In-State),instate,347000,93100,43,5,1.0,18100,67
CALIFORNIA,California State University-San Bernardino(In-State),instate,347000,84500,55,5,1.0,18200,69
CALIFORNIA,California State University-Stanislaus(Out-of-State),outofstate,342000,127000,57,5,1.0,19100,61
CALIFORNIA,Scripps College(Private),private,342000,260000,84,4,1.0,27400,8
CALIFORNIA,Sonoma State University(Out-of-State),outofstate,342000,141000,61,5,1.0,22900,35
CALIFORNIA,University of California-Santa Cruz(Out-of-State),outofstate,341000,235000,77,4,1.0,23400,36
CALIFORNIA,California State University-San Marcos(Out-of-State),outofstate,325000,141000,52,5,1.0,22000,48
CALIFORNIA,California State University-Los Angeles(Out-of-State),outofstate,320000,138000,46,6,1.0,15200,71
CALIFORNIA,California State University-Monterey Bay(In-State),instate,317000,80700,55,5,1.0,18100,49
CALIFORNIA,California State University-Dominguez Hills(Out-of-State),outofstate,316000,135000,42,6,1.0,17100,72
CALIFORNIA,Otis College of Art and Design(Private),private,316000,233000,60,4,1.0,26100,30
CALIFORNIA,Point Loma Nazarene University(Private),private,309000,186000,71,4,1.0,30900,26
CALIFORNIA,California State University-San Bernardino(Out-of-State),outofstate,303000,129000,55,5,1.0,18200,69
CALIFORNIA,California State University-Bakersfield(Out-of-State),outofstate,302000,138000,43,5,1.0,18100,67
CALIFORNIA,Marymount California University(Private),private,298000,206000,34,,1.0,48200,41
CALIFORNIA,Azusa Pacific University(Private),private,295000,192000,70,4,1.0,31500,30
CALIFORNIA,Concordia University-Irvine(Private),private,288000,182000,54,4,1.0,27600,35
CALIFORNIA,Fresno Pacific University(Private),private,287000,156000,62,4,1.0,29000,48
CALIFORNIA,Biola University(Private),private,286000,197000,72,4,1.0,30400,30
CALIFORNIA,Vanguard University of Southern California(Private),private,283000,176000,56,4,1.0,28000,49
CALIFORNIA,Whittier College(Private),private,280000,227000,64,4,1.0,33400,32
CALIFORNIA,Woodbury University(Private),private,279000,205000,44,5,1.0,19500,40
CALIFORNIA,Mills College(Private),private,276000,240000,67,4,1.0,24500,39
CALIFORNIA,California State University-Monterey Bay(Out-of-State),outofstate,272000,125000,55,5,1.0,18100,49
CALIFORNIA,Humboldt State University(In-State),instate,258000,92700,46,5,1.0,22200,54
CALIFORNIA,Pitzer College(Private),private,257000,259000,88,4,1.0,17400,13
CALIFORNIA,California Institute of the Arts(Private),private,242000,253000,66,4,1.0,40000,19
CALIFORNIA,Humboldt State University(Out-of-State),outofstate,213000,137000,46,5,1.0,22200,54
CALIFORNIA,California Baptist University(Private),private,184000,173000,60,4,1.0,32900,44
CALIFORNIA,William Jessup University(Private),private,180000,164000,65,4,1.0,25300,36
CALIFORNIA,San Francisco Art Institute(Private),private,168000,251000,40,4,1.0,26900,28
CALIFORNIA,Simpson University(Private),private,141000,148000,47,4,1.0,34000,42
CALIFORNIA,Hope International University(Private),private,126000,168000,43,4,1.0,26500,55
CALIFORNIA,San Diego Christian College(Private),private,118000,172000,52,4,1.0,38700,41
CALIFORNIA,Life Pacific College(Private),private,45300,102000,50,4,1.0,24500,51
CALIFORNIA,Southern California Institute of Architecture(Private),private,N/A,N/A,29,6,1.0,22000,19
CALIFORNIA,Art Center College of Design(Private),private,N/A,N/A,73,5,1.0,23800,23
CALIFORNIA,Coleman University(Private),private,N/A,N/A,65,6,1.0,28500,45
CALIFORNIA,Golden Gate University-San Francisco(Private),private,N/A,N/A,N/A,,1.0,N/A,N/A
CALIFORNIA,Humphreys College-Stockton and Modesto Campuses(Private),private,N/A,N/A,36,5,1.0,29400,82
CALIFORNIA,National University(Private),private,N/A,N/A,38,5,1.0,40000,46
CALIFORNIA,Harvey Mudd College(Private),private,978000,272000,93,4,0.0,N/A,N/A
CALIFORNIA,California Institute of Technology(Private),private,887000,250000,94,4,0.0,N/A,N/A
CALIFORNIA,The California Maritime Academy(In-State),instate,837000,87700,62,4,0.0,N/A,N/A
CALIFORNIA,Stanford University(Private),private,811000,255000,94,4,0.0,N/A,N/A
CALIFORNIA,The California Maritime Academy(Out-of-State),outofstate,793000,132000,62,4,0.0,N/A,N/A
CALIFORNIA,University of California-Berkeley(In-State),instate,759000,139000,92,4,0.0,N/A,N/A
CALIFORNIA,California Polytechnic State University-San Luis Obispo(In-State),instate,699000,100000,80,5,0.0,N/A,N/A
CALIFORNIA,University of California-Berkeley(Out-of-State),outofstate,662000,236000,92,4,0.0,N/A,N/A
CALIFORNIA,California Polytechnic State University-San Luis Obispo(Out-of-State),outofstate,654000,145000,80,5,0.0,N/A,N/A
CALIFORNIA,University of California-San Diego(In-State),instate,642000,125000,87,4,0.0,N/A,N/A
CALIFORNIA,Santa Clara University(Private),private,640000,251000,89,4,0.0,N/A,N/A
CALIFORNIA,Claremont McKenna College(Private),private,604000,262000,93,4,0.0,N/A,N/A
CALIFORNIA,San Jose State University(In-State),instate,597000,102000,62,5,0.0,N/A,N/A
CALIFORNIA,University of California-Los Angeles(In-State),instate,556000,133000,91,4,0.0,N/A,N/A
CALIFORNIA,San Jose State University(Out-of-State),outofstate,552000,147000,62,5,0.0,N/A,N/A
CALIFORNIA,California State Polytechnic University-Pomona(In-State),instate,551000,98300,69,5,0.0,N/A,N/A
CALIFORNIA,University of California-San Diego(Out-of-State),outofstate,544000,223000,87,4,0.0,N/A,N/A
CALIFORNIA,University of California-Irvine(In-State),instate,512000,127000,87,4,0.0,N/A,N/A
CALIFORNIA,California State Polytechnic University-Pomona(Out-of-State),outofstate,506000,143000,69,5,0.0,N/A,N/A
CALIFORNIA,University of California-Santa Barbara(In-State),instate,505000,139000,82,4,0.0,N/A,N/A
CALIFORNIA,University of California-Davis(In-State),instate,493000,136000,85,5,0.0,N/A,N/A
CALIFORNIA,California State University-East Bay(In-State),instate,477000,93500,48,5,0.0,N/A,N/A
CALIFORNIA,University of Southern California(Private),private,472000,264000,92,4,0.0,N/A,N/A
CALIFORNIA,University of San Francisco(Private),private,460000,244000,72,4,0.0,N/A,N/A
CALIFORNIA,University of California-Los Angeles(Out-of-State),outofstate,458000,230000,91,4,0.0,N/A,N/A
CALIFORNIA,California State University-Chico(In-State),instate,455000,92100,69,5,0.0,N/A,N/A
CALIFORNIA,Saint Mary's College of California(Private),private,444000,242000,73,4,0.0,N/A,N/A
